question,answer
" St Gertrude is the name of a piece of music usually used for which popular hymn?
",Onward Christian Soldiers
" Founded in Switzerland in 1866 by a German pharmacist, what is the world's largest food company?
",Nestle
" What Houston energy company went bankrupt in 2001 after massive fraud was revealed?
",Enron
" The main ingredients of the dish vichysoisse are potato and which other vegetable?
",Leek
" James Hutton is generally regarded as the founder of which scientific discipline?
",Geology
" Which of the Mitford sisters wrote the semi- autobiography 'Pursuit Of Love' in 1945?
",Nancy
" Which book, by former MI5 operative Peter Wright, was banned by the British government on the grounds of national security?
",Spycatcher
" What name is given in physics to a collision in which no kinetic energy is lost?
",Elastic
" In which English county can the Prime Minister's country house Chequers be found?
",Buckinghamshire
" In the novel ‘Oliver Twist’ by Charles Dickens, what is the first name of Oliver’s mother?
",Agnes
" Who wrote the 1894 novel ‘The Jungle Book’?
",Rudyard Kipling
" The strategy board game Reversi played on a 8*8 board is marketed under the name of which Shakespearean character?
",Othello
" ""Who played Johnny Fontane in the film """"The Godfather"""" and was previously known as a singer of hits such as """"Here In My Heart"""", """"Spanish Eyes"""", """"Can't Help Falling in Love"""" and """"Volare""""?""
",Al Martino
" Who were the runners up in the men’s rugby union 2012-13 Six Nations competition?
",England
" What plain, woven cloth gets its name from a port in north-east India?
",Calico
" Who designed the Cenotaph in London?
",Lutyens
" If a solution of common salt is electrolysed, chlorine gas is released at one electrode but which metal accumulates at the other?
",Sodium
" What is the common name for the Earth’s lithosphere?
",Crust
" Which word can go before Plant, Guest and Boat to make three other words?
",House
" Beauty School Drop Out is a song from which movie?
",Grease
" Which US president was in office at the start of the Korean War?
",Truman
" What is the head of a jellyfish called?
",The bell
" May 26, 1868 saw the first impeachment trial in the US, when which US President, the 17th, was charged with illegally removing a cabinet member?
",Andrew Johnson
" What is the main ingredient of a plain omelette?
",Eggs
" In which capital of the British Isles would you find the Royal Canal?
",Dublin
" Who plays the title role in the 2013 film Mandela: Long Walk to Freedom?
",Idris elba
" Name the terrorist group that invaded the Munich Olympic Village in 1972.
",Black September
" Who was the first British sovereign to take up residence at Buckingham Palace?
",Queen Victoria
" A bone is joined to a muscle by what tough band of inelastic fibrous tissue?
",Tendon
" In addition to the emu, which other flightless bird is native to Australia?
",Cassowary
" By what name did the 1932-33 England-Australia cricket series become known, after the visiting English team, notably fast bowler Harold Larwood, employed controversial tactics of bowling at batsmen's heads and chests, rather than the wicket?
",Bodyline
" Who had a 1960s hit with Step Inside Love?
",Cilla Black
" Damon Albarn was lead singer and guitarist with which UK chart-topping group in the 1990s?
",Blur
" Who was the first to meet with the risen Jesus?
",Mary Magdalene
" ‘Connubial’ relates to which type of relationship?
",Marriage
" Dendrophilia is the love of what?
",Trees
" The Owl and the Pussycat sailed away to the land where what grows?
",The bong tree
" Who is the Greek equivalent to the Phoenician goddess Astarte, and the Babylonian goddess Ishtar?
",Aphrodite
" Cambridge Circus is in which city?
",London
" Which Welsh county is known as 'Little England beyond Wales'?
",Pembrokeshire
" On which island did Noel Coward spend the last 23 years of his life?
",Jamaica
" Pegasus airlines are based in which country?
",Turkey
" Paul McCartney, and supposedly inspiration for a Beatles song/song title?
",Martha
" Which country in S. E. Asia consists of 17,508 islands, one of the larger ones being Sulawesi?
",Indonesia
" What instrument was played by bandleaders Benny Goodman and Artie Shaw?
",Clarinet
" What did Cindy sell on her market stall when she first joined Eastenders
",Hats
" How was Nguyen that Tan better known?
",Ho Chi Minh
" Who starred in and directed the 1993 film “A Bronx Tale”?
",Robert De Niro
" In which county is the newest Irish National Park at Ballycroy?
",Mayo
" Which American rock band, formed in 1964, included amongst its members David Crosby and Roger McGuinn?
",The Byrds
" In which sport would you see a Redskin or a Dolphin score three points for a field goal?
",American Football
" Which chocolate bar, has had its name changed to 'Snickers'?
",Marathon
" Who described herself as “The last of the red hot mommas”?
",Sophie Tucker
" What are SMS messages sent by?
",Mobile phone
" British sportswoman Anita Lonsbrough won a 1960 Olympic Gold medal in which sport?
",Swimming
" What noted magician, escapologist, stunt performer, actor, film producer and noted skeptic, died of peritonitis, secondary to a ruptured appendix, in 1926?
",Harry Houdini
" The Hopman Cup is competed for in which sport?
",Tennis
" The medical condition dysphoria is a commonly known as what?
",Anxiety
" Which American vocal group was made up of Tim Hauser, Laurel Masse, Alan Paul and Janis Siegel?
",Manhattan transfer
" What popular sandwich consists of a hamburger patty, sautĂŠed onions, and Swiss cheese on rye bread, which is then grilled?
",Patty Melt
" Who was the first king of the House of Lancaster?
",Henry IV
" Which Rogers and Hammerstein musical of 1945 features the songs,'June Is Bustin' Out All Over' and 'If I Loved You'?
",carousel'
" The 'Magna Carta' was written in which language?
",Latin
" A spinone is what type of animal?
",Dog
" The style of singing known as Fado comes from which European country?
",Portugal
" The 'Hautboy' is an old name for which woodwind instrument?
",Oboe
" The Bayeux Tapestry depicts events leading up to which battle?
",Battle of Hastings
" Who wrote the Whitney Huston number one hit 'I Will Always Love You'?
",Dolly parton
" What political speech/campaign term derives from the tradition of cutting down a tree to make a platform for the speaker?
",Stump
" Who composed 'On Hearing The First Cuckoo In Spring'?
",Frederick delius
" Who was the first man to win the BBC Sports Personality of the Year twice?
",Henry Cooper
" Which southpaw did George Foreman beat to win the World Title at 45 years of age
",Michael Moorer
" What is the familiar name for the British flag?
",Union Jack
" What is the name of the church featured in The Vicar of Dibley
",Saint Barnabas
" Magnus Carlsen, at the age of 18, became the world's youngest what?
",Chess champion
" Which Scottish castle did Queen Victoria and husband Prince Albert buy in 1852?
",Balmoral
" What are Gliese 876 d, OGLE-2005-BLG-390Lb, MOA-2007-BLG-192Lb, COROT-Exo-7b, Gliese 581 d and Gliese 581 c?
",Planets
" Which bottled sauce, also named after a county, and suitable for vegetarians is known as 'Grandma Entwistle's'?
",Lancashire Sauce
" ""What British model from the 1960's was """"stick thin""""?""
",Twiggy
" Which car company's logo features a prancing black horse?
",Ferrari
" What is the Basque national sport?
",Jai alai
" ""Who said """"The Eagle has landed""""?""
",Neil Armstrong
" Where would you find Narita airport?
","Tokyo, Japan"
" For which London football club did Rod Stewart have an unsuccessful trial?
",Brentford
" What is conventionally regarded to be the opposite of Utopia?
",Dystopia
" In which state of Australia would you find the area known as the Katherine Region?
",Northern Territory
" In the UK television series ‘Absolutely Fabulous’, what is Patsy’s surname?
",Stone
" ""Who wrote """"Elegy in a Country Churchyard?""
",Thomas Gray
" In Norse mythology, from what type of tree was man first created?
",Ash
" Which former snooker player was a co-presenter on the TV show 'Big Break'?
",John Virgo
" Which football manager, now at Monaco, was known as 'the Tinkerer' or 'Tinkerman' during his time in England?
",Claudio Ranieri
" ""A """"shar pei"""" is a type of what?""
",Dog
" What is the name for the revolving spikey wheel on the end of a cowboy's spurs called?
",A rowel
" What famous brand of shortening gets its name from the phrase crystallized cottonseed oil?
",Crisco
" What is the most expensive property on a Monopoly board
",Mayfair
" What toy was voted toy of the century in January 2000
",Lego
" In what country did President Hugo Chavez disagree with Coca-Cola about land for housing?
",Venezuela
